🔱 INICIANDO FORJA DE LA TRÍADE ABC (24x24) - DESDE CERO - LEY DE COHERENCIA - PROTOCOLO 42
Epoch 0 | Loss: 0.008128803223 | Std: 0.000578949344 | LR: 1e-05
Epoch 500 | Loss: 0.000694204296 | Std: 0.000000153674 | LR: 1e-05
Epoch 1000 | Loss: 0.000441819400 | Std: 0.000000061357 | LR: 1e-05
Epoch 1500 | Loss: 0.000309557741 | Std: 0.000000231554 | LR: 1e-05
Epoch 2000 | Loss: 0.000220508198 | Std: 0.000000094430 | LR: 1e-05
Epoch 2500 | Loss: 0.000161970907 | Std: 0.000000240438 | LR: 1e-05
Epoch 3000 | Loss: 0.000127066480 | Std: 0.000000291530 | LR: 1e-05
Epoch 3500 | Loss: 0.000107967047 | Std: 0.000000709880 | LR: 1e-05
Epoch 4000 | Loss: 0.000098361881 | Std: 0.000000349312 | LR: 1e-05
Epoch 4500 | Loss: 0.000093835595 | Std: 0.000000240703 | LR: 1e-05
Epoch 5000 | Loss: 0.000092082875 | Std: 0.000000350357 | LR: 1e-05
Epoch 5500 | Loss: 0.000090919399 | Std: 0.000000058224 | LR: 1.0000000000000002e-06
Epoch 6000 | Loss: 0.000090858972 | Std: 0.000000091312 | LR: 1.0000000000000002e-06
Epoch 6500 | Loss: 0.000090821777 | Std: 0.000000004561 | LR: 1.0000000000000002e-07
Epoch 7000 | Loss: 0.000090817557 | Std: 0.000000000488 | LR: 1.0000000000000004e-08
Epoch 7500 | Loss: 0.000090817251 | Std: 0.000000000364 | LR: 1.0000000000000004e-08
Epoch 8000 | Loss: 0.000090816815 | Std: 0.000000000284 | LR: 1.0000000000000004e-08
